00027/2023,4,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,5.000,0.05,SCIAVICCO COMERCIO INDUSTRIA LTDA,UNIVERSIDADE FEDERAL DA PARAIBA,153065 - UNIVERSIDADE FEDERAL DA PARAÍBA - CAMPOS I,25/08/2023
00013/2023,5,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,1.000,0.05,PROC9 INDUSTRIA QUIMICA LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155013 - HOSPITAL UNIVERSITÁRIO ONOFRE LOPES,29/06/2023
00060/2023,14,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,3.000,0.05,SOLABOR PRODUTOS PARA LABORATORIOS LTDA,FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE,154050 - MEC- UNIVERSIDADE FEDERAL/SE,04/10/2023
00080/2022,9,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,250,0.05,PROC9 INDUSTRIA QUIMICA LTDA,FUNDACAO OSWALDO CRUZ,254492 - INSTITUTO DE PESQUISAS EVANDRO CHAGAS - IPEC,01/02/2023
00017/2023,41,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,1.500,0.06,IMPORBIO - COMERCIAL IMPORTADORA CIENTIFICA LTDA,UNIVERSIDADE TECNOLOGICA FEDERAL DO PARANA,153177 - UTFPR - CAMPUS SUDOESTE PATO BRANCO,22/08/2023
00063/2022,8,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,500,0.07,PROC9 INDUSTRIA QUIMICA LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155909 - COMPLEXO HOSPITALAR UNIVERSITÁRIO DA UFPA,23/12/2022
00021/2023,25,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,1.000,0.07,LOJA DO LABORATORIO LTDA,UNIVERSIDADE FED.VALES JEQUITINHONHA E MUCURI,153036 - UNIV.FED.DOS VALES DO JEQUITINHONHA E MUCURI,15/08/2023
00010/2022,36,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,250,1.62,FOX SCIENCE COMERCIO & PRODUTOS LTDA,MINISTERIO DA AGRICULTURA E PECUARIA - MAPA,130016 - LABORATÓRIO FEDERAL DE DEFESA AGROPECURIO/PE,22/12/2022
00062/2023,8,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,10,23.0,IMPORBIO - COMERCIAL IMPORTADORA CIENTIFICA LTDA,UNIVERSIDADE FEDERAL DO PARANA,153079 - UNIVERSIDADE FEDERAL DO PARANA,14/08/2023
00093/2023,20,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,2,25.0,HORIZONTE LAB COMERCIO DE PRODUTOS LTDA,COMANDO DA AERONAUTICA,120016 - GRUPAMENTO DE APOIO DE SÃO JOSÉ DOS CAMPOS,20/09/2023
00072/2023,177,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,2,25.15,CHEMIFLEX QUIMICA FINA LTDA.,UNIVERSIDADE FEDERAL DE SANTA MARIA,153164 - UNIVERSIDADE FEDERAL DE STA.MARIA/RS,30/06/2023
00026/2023,68,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,6,27.0,PROC9 INDUSTRIA QUIMICA LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155011 - HOSPITAL DE CLINICAS DO TRIANGULO MINEIRO,15/05/2023
00003/2023,65,Pregão,381374,ÁCIDO OXÁLICO,,GRAMA,15,52.0,LSC COMERCIAL LTDA,"INST.FED.DE EDUC.,CIENC.E TEC.S.PERNAMBUCANO",158149 - INST.FED.EDUC.CIENC.E TEC.SERTãO PERNAMBUCANO,01/03/2023
00001/2023,16,Pregão,336499,REAGENTE PARA DIAGNÓSTICO CLÍNICO 6,,UNIDADE,6,158.1,DATHA PRODUTOS ODONTOLOGICOS E NUTRICIONAIS LTDA,UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,153035 - UNIVERSIDADE FEDERAL DO TRIANGULO MINEIRO,23/02/2023
00004/2023,40,Pregão,336499,REAGENTE PARA DIAGNÓSTICO CLÍNICO 6,,UNIDADE,5,1250.0,LIFEPACK PRODUTOS PARA DIAGNOSTICO LTDA,FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS,154502 - FUNDAÇÃO UNIV. FEDERAL DA GRANDE DOURADOS,19/05/2023
00031/2023,3,Dispensa de Licitação,421836,REAGENTE ANALÍTICO 1,,UNIDADE,1,7232.65,PENSABIO INSTRUMENTOS DE BIOTECNOLOGIA LTDA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,153103 - UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,02/08/2023
00004/2023,99,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",5,189.1,MS SAUDE DISTRIBUIDORA DE MATERIAL HOSPITALAR LTDA,FUNDACAO UNIVERSIDADE FED. DA GRANDE DOURADOS,154502 - FUNDAÇÃO UNIV. FEDERAL DA GRANDE DOURADOS,19/05/2023
00019/2023,72,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",1,267.0,GERAES DIAGNOSTICA LTDA,FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,154043 - FUNDACAO UNIVERSIDADE FEDERAL DE UBERLANDIA,02/06/2023
00033/2023,51,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",3,268.0,GERAES DIAGNOSTICA LTDA,"INST.FED.DE EDUC., CIENC.E TECNOLOGIA PIAUí","158146 - INST.FED.DE EDUC.,CIENC. E TECNOLOGIA PIAUí",21/06/2023
00089/2023,15,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",4,296.0,AWKALAB PRODUTOS PARA LABORATORIO LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155008 - HOSPITAL UNIVERSITÁRIO DO PIAUÍ,21/09/2023
00009/2023,124,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",1,301.0,GERAES DIAGNOSTICA LTDA,UNIVERSIDADE FEDERAL DE GOIAS,153052 - UNIVERSIDADE FEDERAL DE GOIAS- UF/GO,22/08/2023
00268/2022,49,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",2,343.67,REY-GLASS COMERCIAL E SERVICOS LTDA,UNIVERSIDADE FEDERAL DE SANTA CATARINA,153163 - MEC - UNIV. FED. DE SANTA CATARINA - SC,06/12/2022
00002/2023,30,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",2,390.0,GRAULAB BRASIL MATERIAL PARA LABORATORIO S A,MINISTERIO DA AGRICULTURA E PECUARIA - MAPA,130058 - LABORATÓRIO FEDERAL DE DEFESA AGROPECUÁRIA,27/07/2023
00010/2023,12,Pregão,326310,MEIO DE CULTURA,,"FRASCO 500,00 G",2,407.0,GRAULAB BRASIL MATERIAL PARA LABORATORIO S A,MINISTERIO DA AGRICULTURA E PECUARIA - MAPA,130016 - LABORATÓRIO FEDERAL DE DEFESA AGROPECURIO/PE,06/07/2023
00015/2022,16,Pregão,336103,ANTICORPO,,"FRASCO 1,00 ML",21,135.5,ERVIEGAS QUIMICA FINA E PLASTICOS LTDA,COMANDO DO EXERCITO,160324 - INSTITUTO DE BIOLOGIA DO EXERCITO/RJ,16/02/2023
00080/2022,63,Pregão,336103,ANTICORPO,,"FRASCO 1,00 ML",3,3150.0,ERVIEGAS QUIMICA FINA E PLASTICOS LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155021 - HOSPITAL DAS CLÍNICAS DE MINAS GERAIS,10/08/2023
00268/2022,25,Pregão,347513,ÁCIDO PERIÓDICO,,GRAMA,200,3.11,CALIBRY METROLOGIA COMERCIO E CALIBRACAO LTDA,UNIVERSIDADE FEDERAL DE SANTA CATARINA,153163 - MEC - UNIV. FED. DE SANTA CATARINA - SC,06/12/2022
00003/2023,17,Pregão,347513,ÁCIDO PERIÓDICO,,GRAMA,1,380.0,SIGMA-ALDRICH BRASIL LTDA,EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA,135014 - EMBRAPA MANDIOCA FRUT./CRUZ DAS ALMAS/BA,22/08/2023
00054/2023,12,Pregão,347513,ÁCIDO PERIÓDICO,,GRAMA,3,1966.66,MERCK S/A,FUNDACAO OSWALDO CRUZ,254445 - INSTITUTO DE TECNOLOGIA EM IMUNOBIOLOGICOS,30/03/2023
00089/2023,1,Dispensa de Licitação,351612,ÁCIDO CÍTRICO,,QUILOGRAMA,10,41.0,PROQPEM DO BRASIL LTDA,COMANDO DA MARINHA,"791609 - PORTA HELICOPTEROS MULTIPROPóSITO""ATLâNTICO""",08/06/2023
00015/2022,41,Pregão,404471,ANTICORPO,,"FRASCO 1,00 ML",21,567.0,ERVIEGAS QUIMICA FINA E PLASTICOS LTDA,COMANDO DO EXERCITO,160324 - INSTITUTO DE BIOLOGIA DO EXERCITO/RJ,16/02/2023
00093/2023,11,Pregão,404471,ANTICORPO,,"FRASCO 1,00 ML",1,14000.0,ERVIEGAS QUIMICA FINA E PLASTICOS LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155125 - HOSPITAL UNIVERSITÁRIO DE SANTA MARIA,10/07/2023
00024/2022,86,Pregão,327087,REAGENTE,,UNIDADE,5,280.0,NATIVA LAB PRODUTOS LABORATORIAIS LTDA,FUNDACAO OSWALDO CRUZ,254448 - INSTITUTO NAC. DE CONTROLE E QUALID. EM SAUDE,10/01/2023
00196/2023,2,Dispensa de Licitação,355813,ÁCIDO CLORÍDRICO,,LITRO,1,31.2,NEON COMERCIAL REAGENTES ANALITICOS LTDA.,"INST.FED.DE EDUC.,CIENC.E TEC.DE MINAS GERAIS","158122 - INST.FED.DE EDUC.,CIENCIA E TECNOLOGIA DE MG",14/08/2023
00636/2022,1,Dispensa de Licitação,355813,ÁCIDO CLORÍDRICO,,LITRO,1,35.28,CASA AMERICANA DE ARTIGOS PARA LABORATORIOS LTDATDANTO SOCIAL - ABADS,COMISSAO NACIONAL DE ENERGIA NUCLEAR,113202 - COMISSAO NACIONAL DE ENERGIA NUCLEAR,27/12/2022
00083/2023,2,Dispensa de Licitação,355813,ÁCIDO CLORÍDRICO,,LITRO,1,37.5,MERCOLAB PRODUTOS PARA LABORATORIOS LTDA,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,153114 - UFRS- UNIVERSIDADE FEDERAL DO RS/RS,22/08/2023
00136/2022,1,Dispensa de Licitação,355813,ÁCIDO CLORÍDRICO,,LITRO,6,38.12,LABSYNTH PRODUTOS PARA LABORATORIOS LTDA,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,153165 - UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO,30/12/2022
00007/2023,24,Dispensa de Licitação,355813,ÁCIDO CLORÍDRICO,,LITRO,1,39.74,M A 2 COMERCIAL LTDA,COMANDO DA MARINHA,771230 - DEPOSITO SUPRIMENTOS INTENDENCIA MARINHA RJ,10/07/2023
00036/2023,1,Dispensa de Licitação,355813,ÁCIDO CLORÍDRICO,,LITRO,2,197.0,ADONEX COMERCIO DE PRODUTOS PARA LABORATORIO LTDA,EMPRESA BRASILEIRA DE SERVIÇOS HOSPITALARES,155022 - HOSPITAL DAS CLINICAS DE PERNAMBUCO,24/07/2023
00201/2023,10,Pregão,356960,ÁCIDO FOSFOMOLÍBDICO,,GRAMA,500,2.21,SOLABOR PRODUTOS PARA LABORATORIOS LTDA,FUNDACAO UNIVERSIDADE DO AMAZONAS,154039 - FUNDACAO UNIVERSIDADE DO AMAZONAS/AM,07/08/2023
00036/2023,4,Pregão,356960,ÁCIDO FOSFOMOLÍBDICO,,GRAMA,500,2.43,GENESIS QUIMICA LTDA,FUNDACAO UNIVERSIDADE FEDERAL DE MATO G. SUL,154054 - FUNDACAO UNIVERS.FEDERAL/MS,18/08/2023
