srp,orgaoEntidade,anoCompra,sequencialCompra,dataInclusao,dataPublicacaoPncp,dataAtualizacao,numeroCompra,unidadeOrgao,amparoLegal,dataAberturaProposta,dataEncerramentoProposta,informacaoComplementar,processo,objetoCompra,linkSistemaOrigem,justificativaPresencial,unidadeSubRogada,orgaoSubRogado,valorTotalHomologado,numeroControlePNCP,modalidadeId,modoDisputaId,modoDisputaNome,usuarioNome,valorTotalEstimado,modalidadeNome,situacaoCompraId,situacaoCompraNome,tipoInstrumentoConvocatorioCodigo,tipoInstrumentoConvocatorioNome
False,"{'cnpj': '02316487000141', 'razaoSocial': 'SERVICO AUTONOMO DE AGUA E ESGOTO', 'poderId': 'E', 'esferaId': 'M'}",2022,6,2023-01-03T17:15:01,2023-01-03T17:15:01,2023-01-04T16:43:23,93834,"{'ufNome': 'Goiás', 'codigoUnidade': '0516', 'nomeUnidade': 'MANUTENCAO DO SAAE', 'ufSigla': 'GO', 'municipioNome': 'Mineiros', 'codigoIbge': '5213103'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",2022-12-21T08:00:00,2023-01-06T08:00:00,,2022066968,"SERVIÇOS TÉCNICOS ESPECIALIZADOS EM EFICIÊNCIA ENERGÉTICA, OBJETIVANDO ELABORAÇÃO DE PROJETO DE SISTEMA DE GERAÇÃO DISTRIBUÍDA DE USINA FOTOVOLTAICA INSTALADA NO SOLO OU TELHADO, CONTENDO DEFINIÇÕES GEOGRÁFICAS E ESCOPO DE FORNECIMENTO DE MATERIAIS E SERVIÇOS NECESSÁRIOS",,,"{'ufNome': 'Goiás', 'codigoUnidade': '0516', 'nomeUnidade': 'MANUTENCAO DO SAAE', 'ufSigla': 'GO', 'municipioNome': 'Mineiros', 'codigoIbge': '5213103'}","{'cnpj': '02316487000141', 'razaoSocial': 'SERVICO AUTONOMO DE AGUA E ESGOTO', 'poderId': 'E', 'esferaId': 'M'}",65000.0,02316487000141-1-000006/2022,8,4,Dispensa Com Disputa,Prodata Informática,107053.0,Dispensa,1,Divulgada no PNCP,2,Aviso de Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,6,2023-01-04T15:29:53,2023-01-04T15:29:53,2023-01-04T15:29:53,13128,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Melhor custo beneficio.,01300013128202235,Medidor de vazão hidrológico modelo FLOWTRACKER 2,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-13128-2023,,,,125215.5,33654831000136-1-000006/2023,8,5,Não se aplica,Compras.gov.br,125215.5,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,7,2023-01-04T15:38:28,2023-01-04T15:38:28,2023-01-04T15:38:28,08651,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Esse tubo se desgasta com o tempo de uso. Temos trabalhado no projeto de aços nanoestruturados investigando as  estruturas.,01300008651202240,Tubo raios X.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-08651-2023,,,,59662.0,33654831000136-1-000007/2023,8,5,Não se aplica,Compras.gov.br,59662.0,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,8,2023-01-13T11:37:27,2023-01-13T11:37:27,2023-01-13T11:37:27,09185,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,"Este exportador já sintetizou genes para nosso laboratório antes, e podemos aproveitar genes antigos para novas  sínteses,",01300009185202210,Genes sintéticos para estudo da fisiologia de levedura de interesse científico.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-09185-2023,,,,14043.61,33654831000136-1-000008/2023,8,5,Não se aplica,Compras.gov.br,14043.61,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,9,2023-01-13T11:54:56,2023-01-13T11:54:56,2023-01-13T11:54:56,13883,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,O exportador já e o fabricante do equipamento.,01300013883202210,"A peça é um rotor, essencial ao funcionamento de ultracentrífuga para separação de amostras. Sem o rotor, o  funcionamento da centrífuga fica inviabilizado.  ",https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-13883-2023,,,,96953.77,33654831000136-1-000009/2023,8,5,Não se aplica,Compras.gov.br,96953.77,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,10,2023-01-13T13:01:24,2023-01-13T13:01:24,2023-01-13T13:01:24,12731,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,O exportador é o próprio fabricante da peça (rotor) e da ultracentrífuga,01300012731202208,"A peça é um rotor, essencial ao funcionamento de ultracentrífuga para separação de amostras. Sem o rotor, o  funcionamento da centrífuga fica inviabilizado.  ",https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-12731-2023,,,,96953.77,33654831000136-1-000010/2023,8,5,Não se aplica,Compras.gov.br,96953.77,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,11,2023-01-13T13:18:08,2023-01-13T13:18:08,2023-01-13T13:18:08,11267,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,A escolha do exportador já que ele e o fabricante do equipamento e da reposição da peça.,01300011267202224,Lâmpada Flash p/ laser e placa eletrônica pra laser: frágil.  ,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-11267-2023,,,,18029.68,33654831000136-1-000011/2023,8,5,Não se aplica,Compras.gov.br,18029.68,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,14,2023-01-25T10:41:29,2023-01-25T10:41:29,2023-01-25T10:41:29,13340,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Trata-se do melhor equipamento para cultivo de microorganismos em laboratório.,01300013340202201,Biorreator de bancada Biostat B twin com duas dornas de 2L.,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-13340-2023,,,,425042.97,33654831000136-1-000014/2023,8,5,Não se aplica,Compras.gov.br,425042.97,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,15,2023-01-25T11:26:28,2023-01-25T11:26:28,2023-01-25T11:26:28,08242,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,A empresa exportadora já forneceu esse mesmo equipamento está sendo adquirido a outras Universidades.,01300008242202243,Micro-Measurements,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-08242-2023,,,,13788.5,33654831000136-1-000015/2023,8,5,Não se aplica,Compras.gov.br,13788.5,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
False,"{'cnpj': '33654831000136', 'razaoSocial': 'CONSELHO NACIONAL DE DESENVOLVIMENTO CIENTIFICO E TECNOLOGICO-CNPQ', 'poderId': 'E', 'esferaId': 'F'}",2023,16,2023-01-26T10:30:10,2023-01-26T10:30:10,2023-01-26T10:30:10,12223,"{'ufNome': 'Distrito Federal', 'codigoUnidade': '364102', 'nomeUnidade': 'CNPQ - ADMINISTRACAO CENTRAL', 'ufSigla': 'DF', 'municipioNome': 'Brasília', 'codigoIbge': '5300108'}","Dispensa de Licitação: produtos para pesquisa e desenvolvimento, limitada a contratação, no caso de obras e serviços de engenharia, ao valor de R$ 300.000,00 (trezentos mil reais)",,,Melhor relação custo beneficio.,01300012223202211,Optscience,https://www.comprasnet.gov.br/acesso.asp?url=/proposta-364102-06-12223-2023,,,,33278.25,33654831000136-1-000016/2023,8,5,Não se aplica,Compras.gov.br,33278.25,Dispensa,1,Divulgada no PNCP,3,Ato que autoriza a Contratação Direta
